Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR
EPL_2008,26/12/08,11,38,2.0,0.0,0.0,23.0,6.0,15.0,2.0,7.0,5.0,1.0,0.0,0.0,0.0
EPL_2008,26/12/08,20,5,3.0,0.0,0.0,18.0,4.0,8.0,2.0,16.0,3.0,1.0,3.0,0.0,0.0
EPL_2008,26/12/08,22,16,5.0,1.0,0.0,23.0,15.0,16.0,11.0,8.0,10.0,0.0,4.0,0.0,0.0
EPL_2008,26/12/08,24,13,0.0,1.0,2.0,7.0,11.0,5.0,6.0,5.0,8.0,5.0,1.0,0.0,0.0
EPL_2008,26/12/08,28,39,1.0,4.0,2.0,21.0,16.0,14.0,9.0,9.0,5.0,1.0,3.0,0.0,0.0
EPL_2008,26/12/08,33,23,0.0,1.0,2.0,6.0,17.0,3.0,10.0,6.0,9.0,4.0,2.0,1.0,0.0
EPL_2008,26/12/08,34,3,0.0,0.0,1.0,13.0,7.0,8.0,3.0,5.0,2.0,0.0,3.0,0.0,0.0
EPL_2008,26/12/08,36,14,0.0,0.0,1.0,14.0,10.0,7.0,7.0,4.0,2.0,0.0,1.0,0.0,0.0
EPL_2008,26/12/08,40,25,2.0,1.0,0.0,11.0,5.0,5.0,3.0,7.0,4.0,2.0,3.0,0.0,1.0
EPL_2008,28/12/08,0,28,1.0,0.0,0.0,11.0,4.0,7.0,3.0,11.0,2.0,0.0,1.0,0.0,0.0
EPL_2008,28/12/08,3,22,2.0,2.0,1.0,11.0,13.0,6.0,3.0,4.0,3.0,2.0,1.0,0.0,0.0
EPL_2008,28/12/08,5,40,0.0,1.0,2.0,14.0,10.0,8.0,7.0,8.0,7.0,2.0,3.0,0.0,0.0
EPL_2008,28/12/08,13,34,3.0,0.0,0.0,10.0,8.0,6.0,5.0,8.0,2.0,1.0,4.0,0.0,0.0
EPL_2008,28/12/08,14,11,2.0,2.0,1.0,5.0,19.0,2.0,14.0,1.0,7.0,1.0,2.0,0.0,0.0
EPL_2008,28/12/08,25,20,1.0,5.0,2.0,10.0,17.0,7.0,12.0,4.0,9.0,2.0,1.0,0.0,0.0
EPL_2008,28/12/08,38,36,2.0,0.0,0.0,17.0,4.0,11.0,3.0,8.0,4.0,3.0,2.0,0.0,1.0
EPL_2008,28/12/08,39,33,2.0,1.0,0.0,15.0,8.0,7.0,5.0,8.0,4.0,3.0,3.0,0.0,1.0
EPL_2008,29/12/08,23,24,1.0,0.0,0.0,28.0,7.0,13.0,2.0,8.0,4.0,2.0,0.0,0.0,0.0
